DATE,TITLE,VOTER_NAME
2/8/2017,Councilmember,Jennifer S. Gates
2/8/2017,Councilmember,Philip T. Kingston
2/8/2017,Mayor,Michael S. Rawlings
2/8/2017,Councilmember,Adam Medrano
2/8/2017,Councilmember,Carolyn King Arnold
2/8/2017,Councilmember,Rickey D. Callahan
1/11/2017,Councilmember,Jennifer S. Gates
4/25/2018,Councilmember,Sandy  Greyson
4/25/2018,Councilmember,Jennifer S.  Gates
4/25/2018,Councilmember,Philip T.  Kingston
4/25/2018,Mayor,Michael S. Rawlings
4/25/2018,Deputy Mayor Pro Tem,Adam Medrano
6/20/2018,Mayor Pro Tem,Dwaine R. Caraway
6/20/2018,Councilmember,Rickey D.  Callahan
6/20/2018,Councilmember,Omar Narvaez
6/20/2018,Councilmember,Kevin Felder
6/20/2018,Councilmember,Tennell Atkins
6/20/2018,Councilmember,Mark  Clayton
6/20/2018,Councilmember,Scott  Griggs
6/20/2018,Councilmember,B. Adam  McGough
6/20/2018,Councilmember,Lee M. Kleinman
6/20/2018,Councilmember,Sandy  Greyson
6/20/2018,Councilmember,Jennifer S.  Gates
6/20/2018,Councilmember,Philip T.  Kingston
6/20/2018,Mayor,Michael S. Rawlings
6/20/2018,Deputy Mayor Pro Tem,Adam Medrano
8/15/2018,Vacant,
8/15/2018,Councilmember,Rickey D.  Callahan
8/15/2018,Councilmember,Omar Narvaez
8/15/2018,Councilmember,Kevin Felder
8/15/2018,Councilmember,Tennell Atkins
8/15/2018,Councilmember,Mark  Clayton
8/15/2018,Councilmember,Scott  Griggs
8/15/2018,Councilmember,B. Adam  McGough
8/15/2018,Councilmember,Lee M. Kleinman
8/15/2018,Councilmember,Sandy  Greyson
8/15/2018,Councilmember,Jennifer S.  Gates
8/15/2018,Councilmember,Philip T.  Kingston
8/15/2018,Mayor,Michael S. Rawlings
8/15/2018,Deputy Mayor Pro Tem,Adam Medrano
9/18/2018,Vacant,
9/18/2018,Councilmember,Rickey D.  Callahan
9/18/2018,Councilmember,Omar Narvaez
9/18/2018,Councilmember,Kevin Felder
9/18/2018,Councilmember,Tennell Atkins
9/18/2018,Councilmember,Mark  Clayton
9/18/2018,Councilmember,Scott  Griggs
4/25/2018,Councilmember,B. Adam  McGough
4/25/2018,Councilmember,Lee M. Kleinman
4/25/2018,Councilmember,Sandy  Greyson
4/25/2018,Councilmember,Jennifer S.  Gates
4/25/2018,Councilmember,Philip T.  Kingston
4/25/2018,Mayor,Michael S. Rawlings
4/25/2018,Deputy Mayor Pro Tem,Adam Medrano
4/11/2018,Mayor Pro Tem,Dwaine R. Caraway
4/11/2018,Councilmember,Rickey D.  Callahan
4/11/2018,Councilmember,Omar Narvaez
4/11/2018,Councilmember,Kevin Felder
4/11/2018,Councilmember,Tennell Atkins
4/11/2018,Councilmember,Mark  Clayton
4/11/2018,Councilmember,Scott  Griggs
4/25/2018,Councilmember,Philip T.  Kingston
2/28/2018,Councilmember,Scott  Griggs
2/28/2018,Councilmember,B. Adam  McGough
4/11/2018,Councilmember,Philip T.  Kingston
4/11/2018,Mayor,Michael S. Rawlings
4/11/2018,Deputy Mayor Pro Tem,Adam Medrano
4/11/2018,Mayor Pro Tem,Dwaine R. Caraway
4/11/2018,Councilmember,Rickey D.  Callahan
8/9/2017,Councilmember,Lee M. Kleinman
6/13/2018,Mayor,Michael S. Rawlings
6/13/2018,Deputy Mayor Pro Tem,Adam Medrano
4/11/2018,Mayor Pro Tem,Dwaine R. Caraway
8/8/2018,Councilmember,Kevin Felder
8/8/2018,Councilmember,Tennell Atkins
8/8/2018,Councilmember,Mark  Clayton
8/8/2018,Councilmember,Scott  Griggs
8/8/2018,Councilmember,B. Adam  McGough
8/8/2018,Councilmember,Lee M. Kleinman
8/8/2018,Councilmember,Sandy  Greyson
8/8/2018,Councilmember,Jennifer S.  Gates
8/8/2018,Councilmember,Philip T.  Kingston
8/8/2018,Mayor,Michael S. Rawlings
8/8/2018,Deputy Mayor Pro Tem,Adam Medrano
9/12/2018,Vacant,
9/12/2018,Councilmember,Rickey D.  Callahan
